pref_code,facility_code,map_type,map_name,standard_name,standard_address,in_equipment_master,CT_confirmed_detail,MRI_confirmed_detail,CT_detail_classes,MRI_detail_classes,standard_latest_start_date,detail_status
08,0110056,病院,水戸赤十字病院,水戸赤十字病院,水戸市三の丸３－１２－４８,True,False,False,,,令和 8年 5月 1日,装置種別未確定
08,0110197,無床診療所,一般財団法人 茨城県メディカルセンター,一般財団法人　茨城県メディカルセンター,水戸市笠原町字上組４８９,False,False,False,,,令和 8年 2月 1日,装置種別未確定
08,0110205,病院,社会福祉法人恩賜財団済生会支部 茨城県済生会 水戸済生会総合病院,社会福祉法人恩賜財団済生会支部　茨城県済生会　水戸済生会総合病院,水戸市双葉台３－３－１０,True,False,False,,,令和 7年 6月 1日,装置種別未確定
08,0110213,病院,茨城県立こども病院,茨城県立こども病院,水戸市双葉台３－３－１,True,False,False,,,平成30年 1月 1日,装置種別未確定
08,0110247,病院,住吉クリニック病院,住吉クリニック病院,水戸市住吉町１９３－９７,True,False,False,,,平成27年 7月 1日,装置種別未確定
08,0110346,病院,医療法人碧水会 汐ケ崎病院,医療法人碧水会　汐ケ崎病院,水戸市大串町７１５,False,False,False,,,令和 8年 4月 1日,装置種別未確定
08,0110478,病院,総合病院水戸協同病院,総合病院水戸協同病院,水戸市宮町３－２－７,True,False,False,,,令和 4年 9月 1日,装置種別未確定
08,0110593,病院,医療法人社団青潤会 青柳病院,医療法人社団青潤会　青柳病院,水戸市柳町２－１０－１１,True,False,False,,,平成24年12月 1日,装置種別未確定
08,0110759,病院,城南病院,城南病院,水戸市城南３－１５－１７,True,False,False,,,令和 8年 7月 1日,装置種別未確定
08,0110809,無床診療所,石田外科医院,石田外科医院,水戸市東原２－７－３９,False,False,False,,,平成24年10月 1日,装置種別未確定
08,0111237,病院,医療法人社団協栄会 大久保病院,医療法人社団協栄会　大久保病院,水戸市石川４－４０４０－３２,True,False,False,,,平成28年11月 1日,装置種別未確定
08,0112045,病院,医療法人清真会 丹野病院,医療法人清真会　丹野病院,水戸市酒門町字仲田４８８７,True,False,False,,,令和元年 9月 1日,装置種別未確定
08,0112664,無床診療所,台町クリニック,台町クリニック,水戸市元台町１５１２－１,False,False,False,,,令和 3年 9月 1日,装置種別未確定
08,0112730,有床診療所,医療法人 坂本内科医院,医療法人　坂本内科医院,水戸市見川２－１９２－３,False,False,False,,,平成25年10月 1日,装置種別未確定
08,0112771,病院,大橋病院,大橋病院,水戸市見川町２１３１－１５６０,True,False,False,,,令和 7年 7月 1日,装置種別未確定
08,0112953,無床診療所,医療法人 笠原中央クリニック,医療法人　笠原中央クリニック,水戸市笠原町５６５ー７,False,False,False,,,平成24年 7月 1日,装置種別未確定
08,0112979,無床診療所,川上医院,川上医院,水戸市河和田町字高野坪８６２,False,False,False,,,平成28年 4月 1日,装置種別未確定
08,0113027,無床診療所,さいとう内科,さいとう内科,水戸市東野町４９１－１２,False,False,False,,,令和 5年 3月 1日,装置種別未確定
08,0113399,病院,国家公務員共済組合連合会 水府病院,国家公務員共済組合連合会　水府病院,水戸市赤塚一丁目一番地,True,False,False,,,令和 4年 7月 1日,装置種別未確定
08,0113639,病院,東前病院,東前病院,水戸市東前２丁目２８,True,False,False,,,平成24年 6月 1日,装置種別未確定
08,0113936,有床診療所,大場内科クリニック,大場内科クリニック,水戸市酒門町２７５番３,True,False,False,,,平成26年 3月 1日,装置種別未確定
08,0114025,病院,茨城県立あすなろの郷病院,茨城県立あすなろの郷病院,水戸市杉崎町１４６０,True,False,False,,,平成24年 4月 1日,装置種別未確定
08,0114108,有床診療所,医療法人誠順会クリニック健康の杜,医療法人誠順会クリニック健康の杜,水戸市千波町１２５０番地,True,False,False,,,平成25年 3月 1日,装置種別未確定
08,0114116,無床診療所,あいん常澄医院,あいん常澄医院,水戸市下大野町５３６０番地,False,False,False,,,平成24年 4月 1日,装置種別未確定
08,0114249,病院,社会医療法人財団 古宿会 水戸中央病院,社会医療法人財団　古宿会　水戸中央病院,水戸市六反田町１１３６番地１,True,False,False,,,令和 8年 4月 1日,装置種別未確定
08,0114363,有床診療所,長田医院,長田医院,水戸市大足町９８０番地,True,False,False,,,平成29年 8月 1日,装置種別未確定
08,0114371,無床診療所,医療法人社団千甫会高橋外科医院,医療法人社団千甫会高橋外科医院,水戸市元吉田町１９８８－２,False,False,False,,,令和 7年11月 1日,装置種別未確定
08,0114587,病院,医療法人社団 北水会 北水会記念病院,医療法人社団　北水会　北水会記念病院,水戸市東原３丁目２－１,True,False,False,,,平成24年10月 1日,装置種別未確定
08,0114710,病院,医療法人 桜丘会 水戸ブレインハートセンター,医療法人　桜丘会　水戸ブレインハートセンター,水戸市青柳町４０２８,True,False,False,,,令和 2年 2月 1日,装置種別未確定
08,0114777,無床診療所,社会医療法人財団 古宿会 水戸中央クリニック,社会医療法人財団　古宿会　水戸中央クリニック,水戸市柳町１丁目１５番１号,False,False,False,,,平成28年 1月 1日,装置種別未確定
08,0114819,無床診療所,田口同仁クリニック,田口同仁クリニック,水戸市内原町９１０－１,False,False,False,,,令和 5年11月 1日,装置種別未確定
08,0114934,病院,誠潤会水戸病院,誠潤会水戸病院,水戸市袴塚３－２７８７－９,True,False,False,,,令和 6年 8月 1日,装置種別未確定
08,0114942,無床診療所,脳神経外科山田醫院,脳神経外科山田醫院,水戸市渡里町２６８９－１,False,False,False,,,令和 3年 1月 1日,装置種別未確定
08,0115006,病院,愛正会記念 茨城福祉医療センター,愛正会記念　茨城福祉医療センター,水戸市元吉田町１８７２－１,True,False,False,,,令和 7年 5月 1日,装置種別未確定
08,0115055,無床診療所,小野クリニック,小野クリニック,水戸市元吉田町２５７６番地６,False,False,False,,,令和 6年 5月 1日,装置種別未確定
08,0115204,無床診療所,水戸心臓血管クリニック,水戸心臓血管クリニック,水戸市姫子２丁目７３２－３,False,False,False,,,平成29年 8月 1日,装置種別未確定
08,0115220,病院,みと南ヶ丘病院,みと南ヶ丘病院,水戸市元吉田町１０５７番地の１,True,False,False,,,令和 7年 4月 1日,装置種別未確定
08,0115402,病院,志村病院,志村病院,水戸市五軒町１丁目５番１１号,True,False,False,,,令和元年 5月 1日,装置種別未確定
08,0115576,無床診療所,見和中央クリニック,見和中央クリニック,水戸市見和１丁目３３６－６,False,False,False,,,令和 2年10月 1日,装置種別未確定
08,0115899,無床診療所,黒澤腎臓内科クリニック,黒澤腎臓内科クリニック,水戸市笠原町１７９７－２,False,False,False,,,令和 7年10月 1日,装置種別未確定
08,0210047,病院,株式会社 日立製作所 日立総合病院,株式会社　日立製作所　日立総合病院,日立市城南町２－１－１,True,False,False,,,平成30年10月 1日,装置種別未確定
08,0210062,病院,大原神経科病院,大原神経科病院,日立市大みか町１－１３－１８,False,False,False,,,令和 7年 4月 1日,装置種別未確定
08,0210088,病院,医療法人 光風会 回春荘病院,医療法人　光風会　回春荘病院,日立市大みか町６－１７－１,True,False,False,,,平成29年11月 1日,装置種別未確定
08,0210104,無床診療所,株式会社日立製作所 日立健康管理センタ,株式会社日立製作所　日立健康管理センタ,日立市会瀬町４－３－１６,False,False,False,,,平成29年 2月 1日,装置種別未確定
