pref_code,facility_code,map_type,map_name,map_beds,in_equipment_master
08,0110056,病院,水戸赤十字病院,387,True
08,0110197,無床診療所,一般財団法人 茨城県メディカルセンター,0,False
08,0110205,病院,社会福祉法人恩賜財団済生会支部 茨城県済生会 水戸済生会総合病院,415,True
08,0110213,病院,茨城県立こども病院,115,True
08,0110247,病院,住吉クリニック病院,60,True
08,0110346,病院,医療法人碧水会 汐ケ崎病院,178,False
08,0110478,病院,総合病院水戸協同病院,324,True
08,0110593,病院,医療法人社団青潤会 青柳病院,57,True
08,0110759,病院,城南病院,99,True
08,0110809,無床診療所,石田外科医院,0,False
08,0111237,病院,医療法人社団協栄会 大久保病院,194,True
08,0112045,病院,医療法人清真会 丹野病院,138,True
08,0112664,無床診療所,台町クリニック,0,False
08,0112730,有床診療所,医療法人 坂本内科医院,17,False
08,0112771,病院,大橋病院,43,True
08,0112953,無床診療所,医療法人 笠原中央クリニック,0,False
08,0112979,無床診療所,川上医院,0,False
08,0113027,無床診療所,さいとう内科,0,False
08,0113399,病院,国家公務員共済組合連合会 水府病院,127,True
08,0113639,病院,東前病院,104,True
08,0113936,有床診療所,大場内科クリニック,8,True
08,0114025,病院,茨城県立あすなろの郷病院,50,True
08,0114108,有床診療所,医療法人誠順会クリニック健康の杜,3,True
08,0114116,無床診療所,あいん常澄医院,0,False
08,0114249,病院,社会医療法人財団 古宿会 水戸中央病院,178,True
08,0114363,有床診療所,長田医院,19,True
08,0114371,無床診療所,医療法人社団千甫会高橋外科医院,0,False
08,0114587,病院,医療法人社団 北水会 北水会記念病院,128,True
08,0114710,病院,医療法人 桜丘会 水戸ブレインハートセンター,88,True
08,0114777,無床診療所,社会医療法人財団 古宿会 水戸中央クリニック,0,False
08,0114819,無床診療所,田口同仁クリニック,0,False
08,0114934,病院,誠潤会水戸病院,43,True
08,0114942,無床診療所,脳神経外科山田醫院,0,False
08,0115006,病院,愛正会記念 茨城福祉医療センター,135,True
08,0115055,無床診療所,小野クリニック,0,False
08,0115204,無床診療所,水戸心臓血管クリニック,0,False
08,0115220,病院,みと南ヶ丘病院,48,True
08,0115402,病院,志村病院,60,True
08,0115576,無床診療所,見和中央クリニック,0,False
08,0115899,無床診療所,黒澤腎臓内科クリニック,0,False
08,0210047,病院,株式会社 日立製作所 日立総合病院,597,True
08,0210062,病院,大原神経科病院,236,False
08,0210088,病院,医療法人 光風会 回春荘病院,295,True
08,0210104,無床診療所,株式会社日立製作所 日立健康管理センタ,0,False
08,0210138,病院,社会医療法人愛宣会 ひたち医療センター,273,True
08,0210161,病院,医療法人 群羊会 医療法人 群羊会 久慈茅根病院,71,True
08,0210377,病院,医療法人 愛正会 田尻ヶ丘病院,198,True
08,0210484,無床診療所,日立北クリニック,0,False
08,0210807,病院,医療法人 圭愛会 日立梅ヶ丘病院,313,False
08,0211326,無床診療所,日立さくらクリニック,0,False
08,0211425,病院,永井ひたちの森病院,228,False
08,0211532,有床診療所,かもめ・日立クリニック,19,True
08,0211615,無床診療所,わだクリニック,0,False
08,0211680,有床診療所,十王ひがし野クリニック,19,True
08,0211813,無床診療所,ないとうクリニック,0,False
08,0211946,無床診療所,医療法人聖麗会 聖麗メモリアル高鈴,0,False
08,0211953,病院,医療法人 聖麗会 聖麗メモリアル病院,72,True
08,0212019,病院,医療法人ここの実会 嶋崎病院,47,True
08,0212027,有床診療所,川島クリニック,19,True
08,0212233,無床診療所,公益財団法人日立メディカルセンター診療所,0,False
08,0212365,病院,日立港病院,45,True
08,0212399,病院,医療法人社団 日鉱記念病院,51,True
08,0212407,病院,医療法人一誠会 川﨑病院,45,True
08,0212431,無床診療所,なわ内科・呼吸器クリニック,0,False
08,0310029,無床診療所,株式会社日立製作所 土浦診療健診センタ,0,False
08,0310110,病院,医療法人財団 県南病院,83,True
08,0310599,病院,医療法人社団青洲会 神立病院,160,True
08,0311332,無床診療所,岩本クリニック,0,False
08,0311357,無床診療所,医療法人社団 関城会 医療法人社団 関城会 淀縄医院,0,False
08,0311597,無床診療所,田谷医院,0,False
08,0311639,無床診療所,土浦中央クリニック,0,False
08,0311779,病院,野上病院,28,True
08,0311894,無床診療所,常陽医院,0,False
08,0311985,無床診療所,宮﨑クリニック,0,False
08,0312082,無床診療所,岡田整形外科クリニック,0,False
08,0312264,無床診療所,土浦ベリルクリニック,0,False
08,0312298,無床診療所,おおくぼ脳脊椎クリニック,0,False
08,0312363,病院,総合病院土浦協同病院,794,True
