facility_id,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
0210017,石巻赤十字病院,6,2,3,2,1,1,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,29130.0,7066.0,VERIFIED_NUMERIC
0211320,齋藤病院,1,1,0,1,0,0,1,0,2026-08-01,MEDIUM_2026_STANDARD_START,,,
0211569,医療法人社団健育会 石巻健育会病院,1,0,0,1,0,0,0,0,2025-10-01,,,,
0212468,医療法人啓仁会 石巻ロイヤル病院,1,1,0,1,0,0,1,0,2020-08-01,,,,
0212799,石巻市立病院,1,1,1,0,0,0,1,0,2016-09-01,,,,
0212955,関節外科スポーツクリニック石巻,1,1,1,0,0,1,0,0,2023-02-01,,,,
0310023,塩竈市立病院,1,1,0,1,0,0,1,0,2024-11-01,,,,
0310171,公益財団法人宮城厚生協会 坂総合病院,1,1,1,0,0,0,1,0,2016-08-01,,,,
0311005,医療法人社団赤石会 赤石病院,1,1,0,1,0,0,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,,,
0510994,気仙沼市立病院,2,2,2,0,0,1,1,0,2018-12-01,,,,
0610513,医療法人浄仁会 大泉記念病院,1,1,1,0,0,0,1,0,2023-12-01,,,,
0610687,公立刈田綜合病院,2,1,1,1,0,0,1,0,2025-12-01,,,,
0711030,宮城県立がんセンター,4,2,2,1,1,1,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,13676.0,5538.0,VERIFIED_NUMERIC
0810071,医療法人金上仁友会金上病院,1,0,1,0,0,0,0,0,2024-10-01,,,,
0810139,医療法人安達同済会同済病院,1,0,0,1,0,0,0,0,2023-04-01,,,,
0910210,医療法人寶樹会 仙塩総合病院,1,0,0,1,0,0,0,0,2012-04-01,,,,
1110273,総合南東北病院,1,2,1,0,0,0,2,0,2016-01-01,,,,
1110398,緑の里クリニック,1,0,0,1,0,0,0,0,2013-03-01,,,,
1210412,登米市立登米市民病院,1,1,0,1,0,0,1,0,2025-12-01,,,,
1210420,登米市立豊里病院,1,0,0,1,0,0,0,0,2012-08-01,,,,
1210487,登米市立米谷病院,1,0,0,1,0,0,0,0,2019-02-01,,,,
1310030,医療法人社団玄成会 達内科,1,0,1,0,0,0,0,0,2017-12-01,,,,
1310147,医療法人財団弘慈会石橋病院,1,0,0,1,0,0,0,0,2018-09-01,,,,
1310402,栗原市立栗原中央病院,2,2,2,0,0,0,2,0,2024-12-01,,,,
1310410,栗原市立栗駒病院,1,0,0,1,0,0,0,0,2016-09-01,,,,
1310436,栗原市立若柳病院,1,1,0,1,0,0,0,1,2015-04-01,,,,
1410111,真壁病院,1,1,0,1,0,0,1,0,2019-12-01,,,,
1410301,医療法人社団仙石病院,2,1,2,0,0,0,1,0,2026-01-01,MEDIUM_2026_STANDARD_START,,,
1510035,大崎市民病院岩出山分院,1,0,0,1,0,0,0,0,2012-04-01,,,,
1510076,一般財団法人佐藤病院,1,0,0,1,0,0,0,0,2014-07-01,,,,
1510126,公益財団法人宮城厚生協会 古川民主病院,1,0,0,1,0,0,0,0,2019-03-01,,,,
1510142,医療法人永仁会 永仁会病院,1,0,1,0,0,0,0,0,2020-08-01,,,,
1510233,北みやぎ外科クリニック,1,0,0,1,0,0,0,0,2021-12-01,,,,
1510589,徳永整形外科病院,0,1,0,0,0,0,1,0,,,,,
1511017,みやぎ北部循環器科,1,0,1,0,0,0,0,0,2014-04-01,,,,
1511157,大崎ミッドタウン総合メディケアクリニック,1,1,0,1,0,0,1,0,2016-10-01,,,,
1511348,星陵あすか病院,1,1,0,1,0,0,1,0,2017-05-01,,,,
1511355,三浦病院,1,0,0,1,0,0,0,0,2017-07-01,,,,
1610157,富谷中央病院,1,0,0,1,0,0,0,0,2021-01-01,,,,
2110108,蔵王町国民健康保険蔵王病院,1,0,0,1,0,0,0,0,2022-10-01,,,,
2210254,国民健康保険川崎病院,1,0,0,1,0,0,0,0,2014-09-01,,,,
2211013,みやぎ県南中核病院,4,2,4,0,0,1,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,13698.0,6395.0,VERIFIED_NUMERIC
2211187,川崎こころ病院,0,1,0,0,0,0,1,0,2023-07-01,,,,
2310096,丸森町国民健康保険丸森病院,2,0,0,1,1,0,0,0,2017-06-01,,,,
2610230,松島病院,1,0,0,1,0,0,0,0,2012-04-01,,,,
2610404,りふの内科クリニック,1,0,0,0,1,0,0,0,2016-03-07,,,,
2610479,宮城利府掖済会病院,1,0,0,1,0,0,0,0,2014-01-01,,,,
2610677,医療法人寶樹会 仙塩利府病院,2,1,0,1,0,0,1,0,2026-05-01,MEDIUM_2026_STANDARD_START,,,
2710360,公立黒川病院,1,1,1,0,0,0,1,0,2025-06-01,,,,
2710741,吉岡まほろばクリニック,1,0,0,1,0,0,0,0,2019-05-01,,,,
2710881,杉山医院,1,1,0,1,0,0,0,1,2016-11-21,,,,
2810368,公立加美病院,1,0,1,0,0,0,0,0,2023-02-01,,,,
3110529,涌谷町国民健康保険病院,1,1,0,1,0,0,1,0,2016-11-01,,,,
3110842,野崎病院,1,0,0,1,0,0,0,0,2025-01-01,,,,
3110933,美里町立南郷病院,1,0,0,1,0,0,0,0,2016-11-01,,,,
3510272,女川町地域医療センター,1,0,0,1,0,0,0,0,2012-04-01,,,,
3610478,南三陸病院,1,0,1,0,0,0,0,0,2024-05-01,,,,
5110030,国家公務員共済組合連合会東北公済病院,2,1,2,0,0,0,1,0,2022-10-01,,,,
5110048,独立行政法人労働者健康安全機構東北労災病院,3,2,2,1,0,0,2,0,2026-07-01,MEDIUM_2026_STANDARD_START,,,
5110261,一般財団法人周行会 内科佐藤病院,1,0,0,1,0,0,0,0,2023-02-01,,,,
5111277,宮城中央病院,1,1,0,1,0,0,1,0,2013-01-01,,,,
5112465,ＪＲ仙台病院,1,1,1,0,0,0,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,,,
5112564,医療法人宏人会 木町病院,1,0,0,1,0,0,0,0,2012-04-01,,,,
5112788,西仙台病院,1,0,0,1,0,0,0,0,2023-05-01,,,,
5112853,医療法人ひろせ会 広瀬病院,1,0,0,1,0,0,0,0,2017-10-01,,,,
5113802,仙台エコー医療療育センター,1,0,0,1,0,0,0,0,2018-01-01,,,,
5114396,仙台中江病院,1,1,0,1,0,1,0,0,2025-01-01,,,,
5116250,宮城県立こども病院,1,1,1,0,0,0,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,,,
5117845,医療法人財団明理会イムス明理会仙台総合病院,1,1,1,0,0,0,1,0,2020-06-01,,,,
5210806,公益財団法人仙台市医療センター　仙台オープン病院,2,1,2,0,0,0,1,0,2026-07-01,MEDIUM_2026_STANDARD_START,,,
5211127,中嶋病院,1,1,0,1,0,0,1,0,2016-06-01,,,,
5211812,岩切病院,1,0,1,0,0,0,0,0,2015-10-01,,,,
5211861,仙台東脳神経外科病院,1,2,0,1,0,0,2,0,2026-04-01,MEDIUM_2026_STANDARD_START,,,
5212653,仙台ペインクリニック,0,1,0,0,0,0,0,1,,,,,
5213008,東北医科薬科大学病院,6,2,5,1,0,0,2,0,2026-06-01,MEDIUM_2026_STANDARD_START,22713.0,8152.0,VERIFIED_NUMERIC
5310994,仙台整形外科病院,1,1,0,1,0,0,1,0,2012-04-01,,,,
5311927,河原町病院,1,0,0,1,0,0,0,0,2020-12-01,,,,
5312651,東北医科薬科大学若林病院,2,1,0,1,0,0,1,0,2026-03-01,MEDIUM_2026_STANDARD_START,,,
5312750,医療法人社団葵会 葵会仙台病院,1,0,0,1,0,0,0,0,2017-12-13,,,,
5410141,独立行政法人地域医療機能推進機構 仙台南病院,1,0,1,0,0,0,0,0,2026-08-01,MEDIUM_2026_STANDARD_START,,,
5410471,公益財団法人宮城厚生協会長町病院,1,0,0,1,0,0,0,0,2013-12-01,,,,
5410760,仙台赤十字病院,1,1,1,0,0,0,1,0,2023-08-01,,,,
