pref_code,facility_id,facility_name_map,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
01,1417382,市立函館恵山病院,市立函館恵山病院,1,0,0,1,0,0,0,0,2015-07-01,,,,
01,1416756,市立函館病院,市立函館病院,2,2,2,0,0,1,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,,,
01,1417655,社会福祉法人 北海道社会事業協会函館病院,社会福祉法人北海道社会事業協会函館病院,1,1,1,0,0,0,1,0,2022-04-01,,,,
01,1411005,医療法人 同仁会 函館記念病院,医療法人同仁会函館記念病院,1,0,0,0,1,0,0,0,2020-10-01,,,,
01,1418307,医療法人社団健和会函館おおむら整形外科病院,医療法人社団健和会函館おおむら整形外科病院,1,1,0,1,0,0,1,0,2022-01-01,,,,
01,1410403,函館渡辺病院,函館渡辺病院,1,1,1,0,0,0,1,0,2022-08-01,,,,
01,1414157,道南勤医協 函館稜北病院,社会医療法人道南勤労者医療協会道南勤医協函館稜北病院,1,0,0,1,0,0,0,0,2012-04-01,,,,
01,1417960,亀田病院,亀田病院,1,1,0,1,0,0,0,1,2019-04-01,,,,
01,1413001,社会医療法人仁生会 西堀病院,社会医療法人仁生会西堀病院,1,0,0,1,0,0,0,0,2012-08-01,,,,
01,1419263,社会医療法人 高橋病院,社会医療法人高橋病院,1,0,1,0,0,0,0,0,2024-10-01,,,,
01,8010057,独立行政法人国立病院機構函館医療センター,独立行政法人国立病院機構函館医療センター,1,1,0,1,0,0,1,0,2025-03-01,,,,
01,1416160,医療法人 聖仁会 森病院,医療法人聖仁会森病院,1,0,0,1,0,0,0,0,2012-04-01,,,,
01,1411237,特定医療法人 富田病院,特定医療法人富田病院,1,0,0,1,0,0,0,0,2020-10-01,,,,
01,1417341,市立函館南茅部病院,市立函館南茅部病院,1,0,0,0,1,0,0,0,2012-04-01,,,,
01,1410049,函館中央病院,函館中央病院,2,2,2,0,0,0,2,0,2026-07-01,MEDIUM_2026_STANDARD_START,,,
01,1410064,函館赤十字病院,函館赤十字病院,1,1,1,0,0,0,1,0,2022-04-01,,,,
01,1410031,社会福祉法人 函館厚生院 函館五稜郭病院,函館五稜郭病院,6,2,6,0,0,1,1,0,2026-04-01,MEDIUM_2026_STANDARD_START,24624.0,8398.0,VERIFIED_NUMERIC
01,1414439,函館市医師会病院,函館市医師会病院,1,1,1,0,0,0,1,0,2017-04-01,,,,
01,1415980,医療法人 雄心会 函館新都市病院,医療法人雄心会函館新都市病院,1,2,1,0,0,1,1,0,2024-10-01,,,,
01,1415006,社会医療法人函館脳神経外科 函館脳神経外科病院,社会医療法人函館脳神経外科　函館脳神経外科病院,1,3,1,0,0,2,1,0,2023-07-01,,,,
01,1512422,松前町立松前病院,松前町立松前病院,1,0,0,1,0,0,0,0,2017-08-01,,,,
01,1513487,木古内町国民健康保険病院,木古内町国民健康保険病院,1,0,1,0,0,0,0,0,2021-04-01,,,,
01,1513354,医療法人社団立青会 なるかわ病院,医療法人社団立青会なるかわ病院,1,0,0,1,0,0,0,0,2012-04-01,,,,
01,1513149,ななえ新病院,ななえ新病院,1,1,0,1,0,0,1,0,2019-10-01,,,,
01,1513156,医療法人 雄心会 新都市砂原病院,医療法人雄心会新都市砂原病院,1,0,0,1,0,0,0,0,2013-01-01,,,,
01,1511291,森町国民健康保険病院,森町国民健康保険病院,1,1,0,1,0,0,0,1,2016-10-01,,,,
01,1610689,医療法人社団 恵愛会 佐々木病院,医療法人社団恵愛会佐々木病院,1,0,0,1,0,0,0,0,2025-03-01,,,,
01,1610895,北海道立江差病院,北海道立江差病院,1,1,1,0,0,0,1,0,2017-01-01,,,,
01,1610226,厚沢部町国民健康保険病院,厚沢部町国民健康保険病院,1,0,0,1,0,0,0,0,2022-12-01,,,,
01,1610507,奥尻町国民健康保険病院,奥尻町国民健康保険病院,1,0,0,1,0,0,0,0,2013-11-01,,,,
01,1510707,八雲総合病院,八雲総合病院,1,1,1,0,0,0,1,0,2015-12-01,,,,
01,1512125,長万部町立病院,長万部町立病院,1,0,0,1,0,0,0,0,2012-04-01,,,,
01,1710166,今金町国保病院,今金町国保病院,1,0,0,1,0,0,0,0,2020-10-01,,,,
01,1710364,医療法人 財団 明理会 道南ロイヤル病院,医療法人財団明理会道南ロイヤル病院,1,0,0,1,0,0,0,0,2023-04-01,,,,
01,1710141,せたな町立国保病院,せたな町立国保病院,1,0,0,1,0,0,0,0,2014-01-01,,,,
01,0117785,医療法人 資生会 創成東病院,医療法人資生会創成東病院,1,0,0,1,0,0,0,0,2021-04-01,,,,
01,0114360,医療法人社団明日佳 札幌明日佳病院,医療法人社団明日佳 札幌明日佳病院,1,0,0,1,0,0,0,0,2026-06-01,MEDIUM_2026_STANDARD_START,,,
01,0117702,医療法人社団 清和会 南札幌病院,医療法人社団清和会 南札幌病院,1,0,0,1,0,0,0,0,2018-01-01,,,,
01,0116589,医療法人社団ＣＨＣＰヘルスケアシステム 桑園中央病院,医療法人桑園中央病院,1,0,0,1,0,0,0,0,2012-05-01,,,,
01,0113420,札幌中央病院,札幌中央病院,1,1,1,0,0,0,1,0,2022-12-01,,,,
01,0410420,一般財団法人 札幌同交会病院,一般財団法人 札幌同交会病院,1,0,0,1,0,0,0,0,2013-04-01,,,,
01,0612108,札幌渓仁会リハビリテーション病院,札幌渓仁会リハビリテーション病院,1,0,0,1,0,0,0,0,2017-06-01,,,,
01,0114865,医療法人社団 いとう整形外科病院,医療法人社団いとう整形外科病院,1,1,0,1,0,0,1,0,2015-01-01,,,,
01,0410545,社会福祉法人 札幌慈啓会 慈啓会病院,慈啓会病院,1,0,0,1,0,0,0,0,2015-02-01,,,,
01,0113719,ＮＴＴ東日本 札幌病院,ＮＴＴ東日本札幌病院,2,1,2,0,0,0,1,0,2023-03-01,,,,
01,0114634,社会医療法人 北海道循環器病院,社会医療法人北海道循環器病院,1,0,1,0,0,0,0,0,2022-08-01,,,,
01,0114501,医療法人社団 恵和会 宮の森病院,医療法人社団恵和会 宮の森病院,1,0,0,1,0,0,0,0,2019-04-01,,,,
01,0116514,医療法人 讃生会 宮の森記念病院,医療法人讃生会 宮の森記念病院,1,1,1,0,0,0,0,1,2025-10-01,,,,
01,0118643,札幌循環器病院,札幌循環器病院,1,0,1,0,0,0,0,0,2012-04-01,,,,
01,0611845,医療法人同仁会 札幌ススキノ病院,医療法人同仁会 札幌ススキノ病院,1,0,1,0,0,0,0,0,2016-07-01,,,,
01,0114121,札幌西円山病院,札幌西円山病院,1,1,0,1,0,0,1,0,2022-04-01,,,,
01,0117959,医療法人社団 銀杏会 さっぽろ銀杏会記念病院,医療法人社団銀杏会さっぽろ銀杏会記念病院,1,1,1,0,0,0,1,0,2024-04-01,,,,
01,0119385,札幌医科大学附属病院,札幌医科大学附属病院,4,5,3,1,0,2,3,0,2026-04-01,MEDIUM_2026_STANDARD_START,28264.0,13844.0,VERIFIED_NUMERIC
01,0114790,社会医療法人 医仁会 中村記念病院,社会医療法人 医仁会 中村記念病院,2,4,0,2,0,1,3,0,2022-08-01,,9305.0,24335.0,VERIFIED_NUMERIC
01,0117207,医療法人社団 土田病院,医療法人社団 土田病院,1,0,1,0,0,0,0,0,2022-04-01,,,,
01,0115813,医療法人 萬田記念病院,医療法人萬田記念病院,1,0,1,0,0,0,0,0,2012-04-01,,,,
01,0118460,札幌南三条病院,札幌南三条病院,2,1,2,0,0,0,1,0,2018-06-01,,,,
01,0113982,医療法人社団 正心会 岡本病院,医療法人社団正心会 岡本病院,1,0,0,1,0,0,0,0,2023-09-01,,,,
01,0114386,ＪＲ札幌病院,ＪＲ札幌病院,2,1,1,1,0,1,0,0,2026-06-01,MEDIUM_2026_STANDARD_START,,,
01,0116381,市立札幌病院,市立札幌病院,3,2,3,0,0,1,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,,,
01,0611266,医療法人菊郷会 愛育病院,医療法人菊郷会 愛育病院,1,1,0,1,0,0,1,0,2022-06-01,,,,
01,0113685,社会医療法人北海道恵愛会 札幌南一条病院,札幌南一条病院,1,0,0,1,0,0,0,0,2015-09-01,,,,
01,0116258,ＪＡ北海道厚生連 札幌厚生病院,ＪＡ北海道厚生連札幌厚生病院,4,2,2,2,0,1,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,19389.0,6481.0,VERIFIED_NUMERIC
01,0610714,特定医療法人 平成会 平成会病院,特定医療法人平成会　平成会病院,1,0,0,1,0,0,0,0,2017-09-01,,,,
01,0118593,医療法人 藻友会 札幌いしやま病院,医療法人藻友会 札幌いしやま病院,1,0,0,1,0,0,0,0,2025-10-01,,,,
01,0611944,国家公務員共済組合連合会 斗南病院,国家公務員共済組合連合会 斗南病院,2,1,2,0,0,0,1,0,2026-06-01,MEDIUM_2026_STANDARD_START,,,
01,0213048,社会医療法人延山会北成病院,社会医療法人延山会 北成病院,1,0,0,1,0,0,0,0,2012-04-01,,,,
01,0214095,医療法人 麻生整形外科病院,医療法人 麻生整形外科病院,1,1,1,0,0,0,1,0,2025-06-01,,,,
01,0215415,社会医療法人 秀眸会 大塚眼科病院,社会医療法人秀眸会 大塚眼科病院,1,0,0,0,1,0,0,0,,,,,
01,0216314,医療法人社団 太黒胃腸内科病院,医療法人社団 太黒胃腸内科病院,1,0,0,1,0,0,0,0,2013-06-01,,,,
