pref_code,facility_code,facility_name,ct_count_medicalinfo,ctannual_medicalinfo,mriannual_medicalinfo,audit_result,medical_info_net_ID,medical_info_kikanCd,medical_info_url,checked_date
08,0110197,茨城県メディカルセンター,1.0,,,CT保有台数確認,0822080000038,2080000038,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2080000038&kikanKbn=2&prefCd=08,2026-09-18
08,0110809,石田外科医院,,,,設備欄未確認,082208510123,208510123,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208510123&kikanKbn=2&prefCd=08,2026-09-18
08,0112953,医療法人　笠原中央クリニック,1.0,,,CT保有台数確認,082208512853,208512853,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208512853&kikanKbn=2&prefCd=08,2026-09-18
08,0112979,川上医院,1.0,,,CT保有台数確認,082208512433,208512433,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208512433&kikanKbn=2&prefCd=08,2026-09-18
08,0114116,あいん常澄医院,1.0,,,CT保有台数確認,082208512912,208512912,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208512912&kikanKbn=2&prefCd=08,2026-09-18
08,0114777,社会医療法人財団　古宿会　水戸中央クリニック,1.0,,,CT保有台数確認,082208517193,208517193,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208517193&kikanKbn=2&prefCd=08,2026-09-18
08,0114819,田口同仁クリニック,1.0,,,CT保有台数確認,082208517614,208517614,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208517614&kikanKbn=2&prefCd=08,2026-09-18
08,0115204,水戸心臓血管クリニック,1.0,,,CT保有台数確認,082208712565,208712565,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208712565&kikanKbn=2&prefCd=08,2026-09-18
08,0211326,日立さくらクリニック,1.0,,,CT保有台数確認,082208551135,208551135,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208551135&kikanKbn=2&prefCd=08,2026-09-18
08,0211813,ないとうクリニック,1.0,,,CT保有台数確認,082208551975,208551975,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208551975&kikanKbn=2&prefCd=08,2026-09-18
08,0211946,医療法人聖麗会　聖麗メモリアル高鈴,1.0,,,CT保有台数確認,082208552363,208552363,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208552363&kikanKbn=2&prefCd=08,2026-09-18
08,0311332,岩本クリニック,,,,設備欄あり・CT/MRI記載なし,082208591717,208591717,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208591717&kikanKbn=2&prefCd=08,2026-09-18
08,0311639,土浦中央クリニック,1.0,,,CT保有台数確認,082208592336,208592336,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208592336&kikanKbn=2&prefCd=08,2026-09-18
08,0311985,宮﨑クリニック,,,,設備欄未確認,082208592626,208592626,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208592626&kikanKbn=2&prefCd=08,2026-09-18
08,0312082,岡田整形外科クリニック,,,,設備欄あり・CT/MRI記載なし,082208593085,208593085,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208593085&kikanKbn=2&prefCd=08,2026-09-18
08,0312298,おおくぼ脳脊椎クリニック,,,,設備欄未確認,082208596158,208596158,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208596158&kikanKbn=2&prefCd=08,2026-09-18
08,0410746,医療法人賢友会　長島外科,1.0,,,CT保有台数確認,082208651471,208651471,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208651471&kikanKbn=2&prefCd=08,2026-09-18
08,0510669,医療法人　芹澤医院,1.0,,,CT保有台数確認,082208592495,208592495,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208592495&kikanKbn=2&prefCd=08,2026-09-18
08,0510883,杉並クリニック,1.0,,,CT保有台数確認,082208592600,208592600,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208592600&kikanKbn=2&prefCd=08,2026-09-18
08,0610196,医療法人社団　新井内科医院,1.0,,,CT保有台数確認,082208620260,208620260,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208620260&kikanKbn=2&prefCd=08,2026-09-18
08,0611665,とみざわハートクリニック,,,,設備欄未確認,082208625698,208625698,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208625698&kikanKbn=2&prefCd=08,2026-09-18
08,0611699,あけの元気館前クリニック,,,,設備欄未確認,082208781992,208781992,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208781992&kikanKbn=2&prefCd=08,2026-09-18
08,0611772,かわしま内科クリニック,,,,設備欄未確認,082208622697,208622697,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208622697&kikanKbn=2&prefCd=08,2026-09-18
08,0611848,てつか脳神経外科クリニック,1.0,,,CT保有台数確認,0822080003606,2080003606,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2080003606&kikanKbn=2&prefCd=08,2026-09-18
08,0710780,医療法人同仁会　みやたクリニック,1.0,,,CT保有台数確認,082208620505,208620505,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208620505&kikanKbn=2&prefCd=08,2026-09-18
08,0811034,中村クリニック,1.0,,,CT保有台数確認,082208581828,208581828,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208581828&kikanKbn=2&prefCd=08,2026-09-18
08,1010263,とき田クリニック,,,,設備欄未確認,082208630436,208630436,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208630436&kikanKbn=2&prefCd=08,2026-09-18
08,1610708,たかだ脳神経外科・内科クリニック,,,3630.0,MRI撮影実績確認・保有設備未確定,082208714745,208714745,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208714745&kikanKbn=2&prefCd=08,2026-09-18
08,1911122,医療法人社団　語應会　オアシス脳神経クリニック,,257.0,3255.0,CT設備掲載あり（台数表記不整合）＋CT/MRI撮影実績,082208584728,208584728,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208584728&kikanKbn=2&prefCd=08,2026-09-18
08,2014009,つくば脳神経外科・頭痛クリニック,,,6000.0,MRI撮影実績確認・保有設備未確定,082208699958,208699958,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208699958&kikanKbn=2&prefCd=08,2026-09-18
08,2014066,すずらん整形＆ラボ,1.0,,,CT保有台数確認,0822080003638,2080003638,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2080003638&kikanKbn=2&prefCd=08,2026-09-18
08,2014074,つくばウェルネス整形外科,,,,設備欄未確認,082208810807,208810807,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208810807&kikanKbn=2&prefCd=08,2026-09-18
08,2111763,医療法人桜丘会　脳神経外科ブレインピアひたちなか,1.0,1425.0,4898.0,CT保有台数＋CT/MRI撮影実績,082208704319,208704319,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208704319&kikanKbn=2&prefCd=08,2026-09-18
08,2410314,医療法人社団弘明会さとう内科・脳神経外科クリニック,,,,設備欄未確認,082208583079,208583079,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208583079&kikanKbn=2&prefCd=08,2026-09-18
08,2610400,ののがき脳神経外科クリニック,1.0,717.0,5321.0,CT保有台数＋CT/MRI撮影実績,082208530770,208530770,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208530770&kikanKbn=2&prefCd=08,2026-09-18
09,0112762,倉持整形外科・皮膚科美容皮膚科,1.0,,,CT保有台数確認,0922092000016,2092000016,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2092000016&kikanKbn=2&prefCd=09,2026-09-18
09,0114982,医療法人百生会　星脳神経外科,,962.0,2290.0,CT/MRI撮影実績確認・保有設備未確定,0922092000051,2092000051,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2092000051&kikanKbn=2&prefCd=09,2026-09-18
09,0211127,医療法人社団　廣和会　いざわ脳神経内科,,,,設備欄未確認,0922090000016,2090000016,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090000016&kikanKbn=2&prefCd=09,2026-09-18
10,0112298,ほしの整形外科クリニック,,,,設備欄未確認,1022100001758,2100001758,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2100001758&kikanKbn=2&prefCd=10,2026-09-18
10,0112470,フォレスト整形外科スポーツクリニック,,,,設備欄未確認,1022100001802,2100001802,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2100001802&kikanKbn=2&prefCd=10,2026-09-18
10,0112751,みずしま脳神経内科・内科クリニック,1.0,,,CT保有台数確認,1022100001915,2100001915,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2100001915&kikanKbn=2&prefCd=10,2026-09-18
10,0112769,医療法人ぐんまスポーツ整形外科,,,,設備欄未確認,1022100001867,2100001867,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2100001867&kikanKbn=2&prefCd=10,2026-09-18
10,0113148,ふじまきクリニック　脳神経外科・内科,1.0,156.0,2695.0,CT保有台数＋CT/MRI撮影実績,1022100001996,2100001996,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2100001996&kikanKbn=2&prefCd=10,2026-09-18
10,0113213,医療法人　しおざわ整形外科クリニック,,,,設備欄あり・CT/MRI記載なし,1022100001958,2100001958,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2100001958&kikanKbn=2&prefCd=10,2026-09-18
08,0113027,さいとう内科,,,,CT設備行あり・台数表記不整合,082208512505,208512505,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208512505&kikanKbn=2&prefCd=08,2026-09-18
08,0114371,医療法人社団千甫会高橋外科医院,1,,,CT保有台数確認,082208511250,208511250,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208511250&kikanKbn=2&prefCd=08,2026-09-18
08,0114942,脳神経外科山田醫院,1,,,CT保有台数確認,082208515274,208515274,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208515274&kikanKbn=2&prefCd=08,2026-09-18
08,0115576,見和中央クリニック,1,,,CT保有台数確認,082208712448,208712448,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208712448&kikanKbn=2&prefCd=08,2026-09-18
08,0115899,黒澤腎臓内科クリニック,1,,,CT保有台数確認,082208311489,208311489,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208311489&kikanKbn=2&prefCd=08,2026-09-18
08,0210484,日立北クリニック,1,,,CT保有台数確認,082208551063,208551063,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208551063&kikanKbn=2&prefCd=08,2026-09-18
08,0212431,なわ内科・呼吸器クリニック,1,,,CT保有台数確認,082208555654,208555654,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208555654&kikanKbn=2&prefCd=08,2026-09-18
08,0310029,株式会社日立製作所　土浦診療健診センタ,1,,,CT保有台数確認,082208590563,208590563,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208590563&kikanKbn=2&prefCd=08,2026-09-18
08,0312264,土浦ベリルクリニック,1,,,CT保有台数確認,082208595438,208595438,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208595438&kikanKbn=2&prefCd=08,2026-09-18
08,0312520,中高津クリニック,,,,設備欄未掲載・CT/MRI未確認,082208599537,208599537,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208599537&kikanKbn=2&prefCd=08,2026-09-18
08,0312645,かすみファミリークリニック,1,,,CT保有台数確認,082208770790,208770790,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208770790&kikanKbn=2&prefCd=08,2026-09-18
