region_code,prefecture,area_name,pop2025,internal_general_facility_count,internal_general_per_100k,cardiology_facility_count,cardiology_per_100k,gastroenterology_facility_count,gastroenterology_per_100k,respiratory_facility_count,respiratory_per_100k,nephrology_facility_count,nephrology_per_100k,diabetes_metabolic_facility_count,diabetes_metabolic_per_100k,neurology_facility_count,neurology_per_100k,hematology_facility_count,hematology_per_100k
01101,北海道,札幌市中央区,257249,205,79.68932823839937,42,16.32659407811109,63,24.489891117166636,23,8.940753899917977,13,5.053469595605814,24,9.329482330349194,11,4.276012734743381,6,2.3323705825872985
01102,北海道,札幌市北区,290125,102,35.157259801809566,26,8.96165445928479,38,13.097802671262386,17,5.859543300301594,3,1.034037052994399,7,2.4127531236535975,10,3.4467901766479963,3,1.034037052994399
01103,北海道,札幌市東区,265235,84,31.670028465323202,28,10.556676155107736,30,11.310724451901145,17,6.409410522743981,11,4.1472656323637525,10,3.770241483967048,9,3.3932173355703434,2,0.7540482967934096
01104,北海道,札幌市白石区,212421,75,35.307243634103976,28,13.18137095673215,31,14.593660702096308,16,7.532211975275514,6,2.8245794907283175,3,1.4122897453641587,3,1.4122897453641587,3,1.4122897453641587
01105,北海道,札幌市豊平区,226015,81,35.83832931442603,21,9.29141871114749,26,11.503661261420701,11,4.866933610601066,6,2.6546910603278544,6,2.6546910603278544,11,4.866933610601066,1,0.44244851005464236
01106,北海道,札幌市南区,129828,43,33.12074436947346,9,6.9322488215177,14,10.783498166805312,5,3.8512493452876115,6,4.621499214345134,3,2.310749607172567,4,3.080999476230089,1,0.7702498690575222
01107,北海道,札幌市西区,217110,89,40.993045000230296,24,11.054304269725023,31,14.278476348394824,14,6.448344157339597,8,3.6847680899083417,8,3.6847680899083417,11,5.06655612362397,1,0.4605960112385427
01108,北海道,札幌市厚別区,121699,44,36.154775306288464,16,13.147191020468533,18,14.790589898027099,3,2.46509831633785,5,4.108497193896417,2,1.6433988775585666,2,1.6433988775585666,2,1.6433988775585666
01109,北海道,札幌市手稲区,140492,46,32.74207784073115,13,9.253195911510977,16,11.388548814167356,6,4.270705805312758,5,3.5589215044272984,5,3.5589215044272984,4,2.847137203541839,1,0.7117843008854597
01110,北海道,札幌市清田区,109970,39,35.46421751386742,14,12.73074474856779,14,12.73074474856779,6,5.45603346367191,4,3.63735564244794,3,2.728016731835955,2,1.81867782122397,2,1.81867782122397
01202,北海道,函館市,232771,120,51.55281370961159,48,20.621125483844637,57,24.487586512065505,37,15.895450893796907,6,2.5776406854805796,11,4.7256745900477295,12,5.155281370961159,3,1.2888203427402898
01203,北海道,小樽市,101222,57,56.311868961292994,20,19.758550512734384,25,24.69818814091798,9,8.891347730730473,6,5.927565153820315,3,2.9637825769101576,6,5.927565153820315,1,0.9879275256367194
01204,北海道,旭川市,313406,127,40.52251711837042,48,15.31559702111638,50,15.953746896996229,34,10.848547889957436,9,2.871674441459321,16,5.105199007038793,10,3.1907493793992456,6,1.9144496276395475
01205,北海道,室蘭市,74850,29,38.74415497661991,10,13.360053440213761,10,13.360053440213761,5,6.680026720106881,4,5.344021376085504,3,4.008016032064128,4,5.344021376085504,1,1.336005344021376
01206,北海道,釧路市,152475,51,33.448106246925725,13,8.52598786686342,16,10.493523528447286,6,3.935071323167733,0,0.0,2,1.3116904410559107,4,2.6233808821118214,1,0.6558452205279554
01207,北海道,帯広市,161312,62,38.43483435826225,20,12.398333663955565,24,14.878000396746678,11,6.819083515175561,5,3.0995834159888913,3,1.8597500495933348,9,5.579250148780004,1,0.6199166831977783
01208,北海道,北見市,109738,40,36.45045471942262,14,12.75765915179792,13,11.846397783812353,6,5.467568207913394,2,1.8225227359711311,1,0.9112613679855656,1,0.9112613679855656,0,0.0
01209,北海道,夕張市,6065,3,49.464138499587804,1,16.488046166529266,1,16.488046166529266,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
01210,北海道,岩見沢市,73202,35,47.812901286850085,8,10.92866315128002,11,15.026911833010027,9,12.294746045190022,2,2.732165787820005,0,0.0,1,1.3660828939100025,0,0.0
01211,北海道,網走市,32092,12,37.39249657235448,5,15.580206905147701,6,18.69624828617724,3,9.34812414308862,1,3.1160413810295404,0,0.0,0,0.0,0,0.0
01212,北海道,留萌市,17642,8,45.34633261534974,3,17.00487473075615,3,17.00487473075615,2,11.336583153837434,1,5.668291576918717,0,0.0,0,0.0,0,0.0
01213,北海道,苫小牧市,164613,44,26.729359163614053,16,9.719766968586928,20,12.149708710733659,7,4.252398048756781,0,0.0,5,3.0374271776834147,4,2.429941742146732,1,0.607485435536683
01214,北海道,稚内市,30288,10,33.01637612255679,2,6.603275224511358,3,9.904912836767037,0,0.0,0,0.0,0,0.0,1,3.301637612255679,1,3.301637612255679
