raw_department,facility_count,canonical_keys,canonical_names,status
内科,59363,internal_general,内科（総合）,MAPPED
小児科,21475,pediatrics,小児科,MAPPED
リハビリテーション科,18817,rehabilitation,リハビリテーション科,MAPPED
整形外科,16919,orthopedics,整形外科,MAPPED
循環器内科,15934,cardiology,循環器内科,MAPPED
外科,15719,general_surgery,外科,MAPPED
消化器内科,15429,gastroenterology,消化器内科,MAPPED
皮膚科,15383,dermatology,皮膚科,MAPPED
精神科,10462,psychiatry,精神科,MAPPED
眼科,10299,ophthalmology,眼科,MAPPED
呼吸器内科,9906,respiratory,呼吸器内科,MAPPED
アレルギー科,9199,allergy,アレルギー,MAPPED
耳鼻咽喉科,7308,ent,耳鼻咽喉科,MAPPED
心療内科,6798,psychosomatic,心療内科,MAPPED
泌尿器科,6581,urology,泌尿器科,MAPPED
放射線科,6393,radiology,放射線科,MAPPED
リウマチ科,6078,rheumatology,リウマチ・膠原病,MAPPED
胃腸内科,5856,gastroenterology,消化器内科,MAPPED
脳神経内科,5752,neurology,脳神経内科,MAPPED
麻酔科,4755,anesthesiology,麻酔科,MAPPED
脳神経外科,4658,neurosurgery,脳神経外科,MAPPED
形成外科,3988,plastic_surgery,形成外科,MAPPED
肛門外科,3666,colorectal_anal_surgery,肛門・大腸外科,MAPPED
婦人科,3588,obgyn,産婦人科系,MAPPED
糖尿病内科,3537,diabetes_metabolic,糖尿病・代謝内科,MAPPED
産婦人科,3128,obgyn,産婦人科系,MAPPED
腎臓内科,2342,nephrology,腎臓内科,MAPPED
消化器外科,1915,gi_surgery,消化器外科,MAPPED
他,1882,,,UNRESOLVED
乳腺外科,1637,breast_surgery,乳腺外科,MAPPED
美容皮膚科,1579,cosmetic_dermatology,美容皮膚科,MAPPED
心臓血管外科,1364,cardiovascular_surgery,心臓血管外科,MAPPED
神経科,1300,psychiatry,精神科,MAPPED
産科,1226,obgyn,産婦人科系,MAPPED
人工透析内科,1210,nephrology,腎臓内科,MAPPED
内視鏡内科,1159,gastroenterology,消化器内科,MAPPED
呼吸器外科,1159,resp_surgery,呼吸器外科,MAPPED
病理診断科,1054,pathology,病理診断科,MAPPED
血液内科,901,hematology,血液内科,MAPPED
美容外科,877,cosmetic_surgery,美容外科,MAPPED
緩和ケア内科,821,palliative,緩和ケア,MAPPED
救急科,768,emergency,救急科,MAPPED
漢方内科,680,internal_general|kampo,内科（総合）|漢方・和漢,MAPPED
小児外科,679,pediatric_surgery,小児外科,MAPPED
内分泌内科,657,diabetes_metabolic,糖尿病・代謝内科,MAPPED
小児皮膚科,557,pediatric_dermatology,小児皮膚科,MAPPED
気食,535,ent,耳鼻咽喉科,MAPPED
肝臓内科,442,gastroenterology,消化器内科,MAPPED
老年内科,410,internal_general|geriatrics,内科（総合）|老年内科,MAPPED
ペインクリニック内科,382,internal_general|pain,内科（総合）|ペインクリニック,MAPPED
美皮,362,cosmetic_dermatology,美容皮膚科,MAPPED
血管外科,362,cardiovascular_surgery,心臓血管外科,MAPPED
児童精神科,351,psychiatry,精神科,MAPPED
腫瘍内科,337,oncology,腫瘍内科,MAPPED
放射線診断科,301,radiology_diagnostic,放射線診断科,MAPPED
救命,292,emergency,救急科,MAPPED
感染症内科,273,infectious,感染症内科,MAPPED
糖尿病・内分泌内科,261,diabetes_metabolic,糖尿病・代謝内科,MAPPED
小児耳鼻咽喉科,252,pediatric_ent,小児耳鼻咽喉科,MAPPED
放射線治療科,231,radiology_therapy,放射線治療科,MAPPED
肛門内科,216,internal_general,内科（総合）,MAPPED
内視内,215,gastroenterology,消化器内科,MAPPED
